# repository	maximum_samples
moby/buildkit	80
docker/buildx	50
docker/compose	50
moby/moby	100
kubernetes/kubernetes	100
grafana/grafana	100
prometheus/prometheus	50
argoproj/argo-cd	50
aquasecurity/trivy	50
go-gitea/gitea	50
nextcloud/docker	100
supabase/supabase	100
airbytehq/airbyte	100
apache/airflow	100
apache/superset	100
apache/kafka	50
apache/pulsar	50
envoyproxy/envoy	50
istio/istio	100
cilium/cilium	100
goharbor/harbor	100
bitnami/containers	150
elastic/elasticsearch	100
elastic/kibana	100
apache/spark	100
apache/flink	100
apache/druid	100
jenkinsci/jenkins	50
gitlabhq/gitlabhq	100
mattermost/mattermost	50
