repository	commit	branch	license	selected
docker/buildx	8035347c81e6a4de50c6f1eac318daa8444449e5	master	Apache-2.0	1
docker/compose	efb63f2e6ef003df7150b18ef00f009f49ebf3de	main	Apache-2.0	1
moby/moby	11ee7e07df4203b65b9cb23302aed9f8d81af0b6	master	Apache-2.0	6
kubernetes/kubernetes	37789f8bd101a9d0e2f5426d95139e9d01e2f057	master	Apache-2.0	4
grafana/grafana	5342253d0a4b144ab825c8ce055c7cff22fb105e	main	AGPL-3.0	2
prometheus/prometheus	2cf323988931bd586a2ab25160e46bcace9398ae	main	Apache-2.0	2
argoproj/argo-cd	f2dc6880581e6c2462f537fac4b24db1d24d455d	master	Apache-2.0	2
go-gitea/gitea	66e3849a705dc2969595d997369dacbd152b2093	main	MIT	2
gitlabhq/gitlabhq	5d54d452bc1c50a8c378d9462ae7f8c4b6a6704d	master	NOASSERTION	2
nextcloud/docker	1d85cd97fc4f7c190c60fa9a079cc3a6dff0f1ce	master	AGPL-3.0	9
supabase/supabase	c1d010a699a76738db63d22d33256b15bd7aea7a	master	Apache-2.0	1
airbytehq/airbyte	40c5d41fe4fc377fb48f8cdbd53d6262ddb13eb0	master	NOASSERTION	10
mattermost/mattermost	2851af059d62cb3eebe73debdaa812d5fa440a94	master	NOASSERTION	4
apache/airflow	adb4b56a80d5c0e61d645d37ad16d48f28f20bc5	main	Apache-2.0	10
apache/superset	023b60c8f012b7ce9e4ec1725281e41c4a06be81	master	Apache-2.0	6
apache/kafka	678c0e07e4733c5a592e52046dc2c4e1625587f1	trunk	Apache-2.0	3
apache/pulsar	8af7868e7d11490e8463a5435a9311cb5b08ab5f	master	Apache-2.0	2
envoyproxy/envoy	4ec588e1226ea7aadae75667f41f8c22792281a4	main	Apache-2.0	2
istio/istio	3006f926b4a797a51549e780c2f64c5ba740c42e	master	Apache-2.0	10
cilium/cilium	016f75a1b3808ec9ab62dd78bf21fb6aaaba3a60	main	Apache-2.0	10
goharbor/harbor	691eb2fe36f4043f040c5d18ef365511042a917b	main	Apache-2.0	6
hashicorp/terraform	c07e79c1c88935d75bfbff52c0eab9ac9f84f688	main	NOASSERTION	1
linuxserver/docker-baseimage-alpine	16cbdf3f3899d4d905fca5fdd3e01c4ff4ba6ae3	3.24	GPL-3.0	2
bitnami/containers	9e24d1e90192286c5edd060005cd053b814a8207	main	NOASSERTION	10
jaegertracing/jaeger	39270887ab1a3a00a6a3611d924b9f409dcc88d7	main	Apache-2.0	1
distribution/distribution	4d578730b82abeef26758b241699fc8d02cda96d	main	Apache-2.0	1
cert-manager/cert-manager	fbf34d17ee9eae1583e89874fe38ff2a17caa028	master	Apache-2.0	1
argoproj/argo-workflows	170fdf7f1941fa5dc2a3c18a2b5afce3605ab59d	main	Apache-2.0	2
argoproj/argo-rollouts	9273b0ee05dbb629cc72fb9d343c08356c8379c8	master	Apache-2.0	1
k3s-io/k3s	8bde218906f9efa2bc5f6d736c12e45905187688	main	Apache-2.0	2
rancher/rancher	76c28ec6e31441bf31528e20b297fc543d71a6d6	main	Apache-2.0	3
siderolabs/talos	ea95578160e631cc0130e0a8f2771c003ef0723e	main	MPL-2.0	1
elastic/kibana	69bfe7be8ba8316ddd1d0b3eecb9d272d664fbe5	main	NOASSERTION	1
apache/spark	c9c45a67b449181a2f26e700ba5ad2c24bbe294c	master	Apache-2.0	6
apache/flink	98ab58c023ea8abeceab04108bd939e596a0b078	master	Apache-2.0	2
apache/druid	d58381a806c696a2618eae21a9fac5be759b8383	master	Apache-2.0	3
apache/camel-k	52e2bf3e20c38ad3d23b8aa39f38563c5d5e1207	main	Apache-2.0	1
redpanda-data/redpanda	70bc43eeed46406cb5eaa215785c0425e1dc4dc5	dev	NOASSERTION	3
nats-io/nats-server	146b0be65b3591e925cce61ce9d2cae32cdeb227	main	Apache-2.0	1
influxdata/influxdb	15130156dfbe3a336375e54a4f8425d5a401fc1c	main	Apache-2.0	2
minio/minio	7aac2a2c5b7c882e68c1ce017d8256be2feea27f	master	AGPL-3.0	2
spiffe/spire	3b5273da24b441d42988619f3d3c44036cd16a5b	main	Apache-2.0	1
